ID,Name,Rank,Previous Rank,Edition,Start Date,End Date,Organization,City,Vendors,CPU Count,GPU Count,COP Count,Node Count,RAM per Node,Rmax,Rpeak,Nmax,Benchmark,Measure,CPU Info,GPU Info,COP Info,Communication Network,Service Network,Transport Network,Application Area,Operating System,Other DB Attributes,Other Dictionary Attributes
384,BladeCenter HS22 Cluster,36,33,Top50 position (#24),2009-01-01,,Банковский сектор,Москва,IBM,0,0,0,0,0.0,38097360.0,66792000.0,,Linpack,МФлоп/с,0x Intel Xeon E5540 (4 cores),"","",Gigabit Ethernet,н/д,н/д,Финансы,н/д,Количество ядер: 6600 | Количество CPU: 1650 | Rpeak (МФлоп/с): 66792000.0,ОС: Linux | Область применения: Финансы | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
521,Ломоносов-2,1,1,Top50 position (#24),2014-01-01,2016-09-26,Московский государственный университет имени М.В.Ломоносова,Москва,Т‑Платформы,1280,1280,0,1280,64.0,1849000000.0,2575870000.0,2293760,Linpack,МФлоп/с,1280x Intel Xeon E5-2697v3 (14 cores),1280x NVIDIA Tesla K40M (15 cores),"",FDR Infiniband,Gigabit Ethernet,FDR Infiniband,Наука и образование,н/д,Количество ядер: 37120 | Количество CPU: 1280 | Rpeak (МФлоп/с): 2575870000.0,Семейство коммуникационной сети: InfiniBand | Топология: Flattened Butterfly | ОС: CentOS | Транспортная сеть: FDR Infiniband | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: FDR Infiniband
457,Гибрид,35,32,Top50 position (#24),2011-01-01,,ССКЦ,Новосибирск,"Hewlett‑Packard, Нонолет",80,120,0,40,98.304,38210000.0,85694400.0,274000,Linpack,МФлоп/с,80x Intel Xeon X5670 (6 cores),120x NVIDIA Tesla M2090 (16 cores),"",QDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 2400 | Количество CPU: 80 | Rpeak (МФлоп/с): 85694400.0,Семейство коммуникационной сети: InfiniBand | ОС: RedHat 5.4 | Транспортная сеть: Gigabit Ethernet | Область применения: Наука и образование | Сервисная сеть: Gigabit Ethernet | Коммуникационная сеть: QDR Infiniband
420,xSeries x3650 Cluster,37,34,Top50 position (#24),2010-01-01,,Classified,Москва,IBM,0,0,0,0,0.0,37497000.0,65739500.0,,Linpack,МФлоп/с,0x Intel Xeon E5540 (4 cores),"","",Gigabit Ethernet,н/д,н/д,н/д,н/д,Количество ядер: 6496 | Количество CPU: 1624 | Rpeak (МФлоп/с): 65739500.0,ОС: Linux | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
489,Минин,38,35,Top50 position (#24),2012-01-01,,ОАО ЦНИИ Буревестник,Нижний Новгород,Т‑Платформы,512,32,0,256,48.0,36880000.0,57621000.0,44800,Linpack,МФлоп/с,480x Intel Xeon X5675 (6 cores) / 32x Intel Xeon L5630 (4 cores),32x NVIDIA Tesla X2070 (16 cores),"",QDR Infiniband,Gigabit Ethernet,Gigabit Ethernet,Промышленность,н/д,Количество ядер: 3520 | Количество CPU: 512 | Rpeak (МФлоп/с): 57621000.0,Семейство коммуникационной сети: InfiniBand | ОС: Linux | Коммуникационная сеть: QDR Infiniband | Транспортная сеть: Gigabit Ethernet | Сервисная сеть: Gigabit Ethernet | Область применения: Промышленность
421,BladeCenter HS22 Cluster,39,36,Top50 position (#24),2010-01-01,,IT‑Services,Москва,IBM,0,0,0,0,0.0,36619600.0,64201300.0,,Linpack,МФлоп/с,0x Intel Xeon E5540 (4 cores),"","",Gigabit Ethernet,н/д,н/д,н/д,н/д,Количество ядер: 6344 | Количество CPU: 1586 | Rpeak (МФлоп/с): 64201300.0,ОС: Linux | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
525,PTG-hpSeismic,41,37,Top50 position (#24),2015-01-01,2016-09-26,PetroTrace Global,Москва,Hewlett‑Packard,320,0,0,160,256.0,35666000.0,61844000.0,1284096,Linpack,МФлоп/с,128x Intel Xeon E5-2680 (8 cores) / 64x Intel Xeon X5670 (6 cores) / 64x Intel Xeon E5-2680v2 (10 cores) / 64x Intel Xeon E5-2643v3 (6 cores),"","",10 Gigabit Ethernet,10 Gigabit Ethernet,10 Gigabit Ethernet,Seismic Processing,н/д,Количество ядер: 2432 | Количество CPU: 320 | Rpeak (МФлоп/с): 61844000.0,ОС: CentOS 6.5 | Транспортная сеть: 10 Gigabit Ethernet | Сервисная сеть: 10 Gigabit Ethernet | Область применения: Seismic Processing | Коммуникационная сеть: 10 Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
524,"",42,38,Top50 position (#24),2015-01-01,,ЗАО Градиент,Казань,"ООО Градиент технолоджи, НИИСИ РАН, НТФ Байко",12,24,0,6,256.0,35610000.0,64896000.0,426240,Linpack,МФлоп/с,12x Intel Xeon E5-2643v2 (6 cores),24x AMD FirePro W9100 (44 cores),"",FDR Infiniband,Gigabit Ethernet,FDR Infiniband,Промышленность,н/д,Количество ядер: 1128 | Количество CPU: 12 | Rpeak (МФлоп/с): 64896000.0,Семейство коммуникационной сети: InfiniBand | ОС: Gentoo | Транспортная сеть: FDR Infiniband | Коммуникационная сеть: FDR Infiniband | Область применения: Промышленность | Сервисная сеть: Gigabit Ethernet
522,Каскад,43,39,Top50 position (#24),2014-01-01,,ООО 'ЦКО',Саров,ООО 'ЦКО',168,0,0,84,64.0,35309000.0,37632000.0,750592,Linpack,МФлоп/с,168x Intel Xeon E5-2680v2 (10 cores),"","",Gigabit Ethernet,Fast Ethernet,FDR Infiniband,Промышленность,н/д,Количество ядер: 1680 | Количество CPU: 168 | Rpeak (МФлоп/с): 37632000.0,ОС: SL 6.5 | Транспортная сеть: FDR Infiniband | Сервисная сеть: Fast Ethernet | Область применения: Промышленность | Коммуникационная сеть: Gigabit Ethernet | Семейство коммуникационной сети: Ethernet
517,NORLIST,44,40,Top50 position (#24),2014-01-01,,Национальная научная лаборатория коллективного пользования информационных и космических технологий,Алматы,Fujitsu,44,0,44,22,96.0,34705000.0,48315000.0,546152,Linpack,МФлоп/с,44x Intel Xeon E5-2620v2 (6 cores),"",44x Intel Xeon Phi 5110P (60 cores),QDR Infiniband,Gigabit Ethernet,10 Gigabit Ethernet,Наука и образование,н/д,Количество ядер: 2904 | Количество CPU: 44 | Rpeak (МФлоп/с): 48315000.0,Семейство коммуникационной сети: InfiniBand | ОС: CentOS 6.5 | Транспортная сеть: 10 Gigabit Ethernet | Область применения: Наука и образование | Коммуникационная сеть: QDR Infiniband | Сервисная сеть: Gigabit Ethernet
